name,test_loss,test_r2
delta_Cm,0.9956528596487024,0.004110866179689765
delta_CYp_lef,0.9996482563764073,0.00044430901180021466
CLr,0.9961467249762883,0.003058084612712264
Cl_lef,0.9824236369386335,0.10387548059225082
Cm,0.9835999310689565,0.0837655543970565
delta_CLbeta,0.999401362313226,0.00038444785168394445
CNp,0.9952469405917665,0.0038162585347890853
CMq,0.9930647566266364,0.007843427686020732
Cl_r30,0.9793837212998642,0.09635882824659348
delta_CNp_lef,0.9926653290724162,0.004647934820968658
delta_CYr_lef,0.9962091450129429,0.003137177508324385
delta_CLr_lef,0.9979296121683938,0.001076572629972361
CNr,0.9763119273307884,0.01856083907186985
CZq,0.9987948451780244,0.0012519737705588342
Cl,0.9762432780485117,0.09512297535936037
CYp,0.9899165244265633,0.007694834703579545
Cn_a20,0.9783258473022044,0.11800909042358398
Cy_a20_lef,0.9951795229290159,0.054514503106474876
Cn_a20_lef,0.9800744246492833,0.09261536598205566
Cn_r30,0.9774765000381159,0.11940936247507732
Cn_lef,0.973642715435904,0.12037908658385277
Cx,0.990876310274349,0.061984737714131675
delta_CMq_lef,0.9921211620041256,0.005464407995168586
delta_CNr_lef,0.9994549082338867,0.00041590439468564
delta_CXq_lef,0.9978079549511789,0.0017129873391240834
Cy_a20,0.9966116341626977,0.0411060955375433
Cl_a20_lef,0.9717998621476114,0.12303461134433746
Cx_lef,0.98965900904954,0.07570162974298
Cy_lef,0.9932174644455414,0.05053857620805502
CYr,0.9973642346326992,0.002499393979087472
delta_CNbeta,0.9994730644665599,0.00020714303718705196
Cy_r30,0.9910440975817839,0.07120175162951152
delta_CZq_lef,0.998952735463496,0.0007105843331373762
Cy,0.9843141525720243,0.08861101642251015
CXq,0.9897467903741083,0.007011674490058795
eta_el,0.999975469010479,1.104577688693
Cn,0.9788506663842946,0.11156898140907287
Cz,0.9941383923311864,0.05196804708490769
Cz_lef,0.9993397640151579,0.014878518646582961
CLp,0.9991167432534888,0.0006872181023936718
delta_CLp_lef,0.9988219723643627,0.0010245196870528161
Cm_lef,0.9817694735906389,0.09417376667261124
Cl_a20,0.9767552116730287,0.1170613889892896
